time,ra.x1,ra.x2,ra.x3,ra.x4,ra.x5,ra.x6
1,0.5,2.47,1.09,0.92,1.24,0.6
2,0.49,2.47,1.08,0.92,1.23,0.59
3,0.49,2.46,1.08,0.91,1.23,0.59
4,0.49,2.46,1.07,0.91,1.23,0.59
5,0.49,2.46,1.07,0.9,1.23,0.59
6,0.49,2.46,1.07,0.9,1.23,0.58
7,0.48,2.46,1.86,0.89,1.22,0.58
8,0.48,2.46,1.9,0.88,1.22,0.58
9,0.48,2.46,1.9,0.88,1.22,0.58
10,0.47,2.45,1.89,0.88,1.22,0.58
11,0.47,2.45,1.88,0.87,1.21,0.57
12,0.47,2.45,1.88,0.87,1.21,0.57
13,0.46,2.45,1.87,0.86,1.21,0.57
14,0.46,2.44,1.87,0.85,1.21,0.57
15,0.46,2.44,1.87,0.85,1.2,0.56
16,0.46,2.44,1.86,0.84,1.2,0.56
17,0.46,2.44,1.86,0.84,1.2,0.56
18,0.45,2.43,1.85,0.83,1.2,0.55
19,0.45,2.43,1.85,0.83,1.2,0.55
20,0.44,2.43,1.84,0.82,1.2,0.55
21,0.44,2.43,1.84,0.82,1.19,0.55
22,0.44,2.43,1.83,0.82,1.19,0.54
23,0.44,2.43,1.83,1.25,1.19,0.54
24,0.43,2.42,1.86,1.25,1.19,0.54
25,0.43,2.42,1.86,1.24,1.19,0.8
26,0.43,2.42,1.86,1.24,1.18,0.79
27,0.43,2.42,1.85,1.23,1.18,0.79
28,0.42,2.42,1.84,1.23,1.18,0.79
29,0.42,2.41,1.85,1.22,1.18,0.79
30,0.42,2.41,1.84,1.22,1.17,0.79
31,0.42,2.41,1.83,1.22,1.17,0.78
32,0.42,2.41,1.83,1.21,1.17,0.78
33,0.41,2.4,1.82,1.21,1.17,0.78
34,0.41,2.4,1.82,1.21,1.17,0.78
35,0.41,2.4,1.81,1.2,1.16,0.77
36,0.4,2.4,1.82,1.2,1.16,0.77
37,0.4,2.4,1.81,1.2,1.16,0.77
38,0.4,2.39,1.8,1.19,1.16,0.76
39,0.4,2.39,2.04,1.19,1.16,0.76
40,0.4,2.39,2.04,1.18,1.16,0.76
41,0.39,2.39,2.03,1.18,1.15,0.76
42,0.39,2.39,2.03,1.18,1.15,0.76
43,0.39,2.38,2.02,1.18,1.15,0.75
44,0.38,2.38,2.02,1.18,1.14,0.75
45,0.38,2.38,2.01,1.17,1.15,0.75
46,0.38,2.38,2.01,1.17,1.14,0.75
47,0.38,2.38,2,1.16,1.14,0.74
48,0.37,2.38,2,1.16,1.14,0.74
49,0.37,2.37,2,1.16,1.13,0.74
50,0.37,2.37,1.99,1.16,1.13,0.73
51,0.37,2.37,1.98,1.16,1.13,0.73
52,0.36,2.37,1.98,1.15,1.13,0.73
53,0.36,2.36,1.98,1.15,1.13,0.73
54,0.36,2.36,1.97,1.15,1.13,0.73
55,0.36,2.36,1.97,1.15,1.12,0.72
56,0.36,2.36,1.97,1.14,1.12,0.72
57,0.69,2.36,1.96,1.14,1.12,0.72
58,0.69,2.36,1.96,1.14,1.12,0.72
59,0.69,2.35,2.2,1.13,1.11,0.72
60,0.69,2.35,2.22,1.33,1.11,0.71
61,0.68,2.35,2.21,1.33,1.11,0.71
62,0.68,2.35,2.21,1.33,1.11,0.71
63,0.68,2.34,2.2,1.33,1.11,0.71
64,0.68,2.34,2.2,1.33,1.11,0.7
65,0.67,2.34,2.2,1.32,1.1,0.7
66,0.67,2.34,2.2,1.32,1.1,0.7
67,0.67,2.34,2.18,1.32,1.1,0.7
68,0.67,2.34,2.18,1.31,1.1,0.69
69,0.66,2.33,2.17,1.31,1.1,0.69
70,0.66,2.33,2.17,1.31,1.09,0.69
71,0.66,2.33,2.17,1.31,1.09,0.69
72,0.65,2.32,2.2,1.3,1.09,0.68
73,0.65,2.33,2.19,1.3,1.09,0.68
74,0.65,2.32,2.19,1.3,1.09,0.68
75,0.65,2.32,2.18,1.29,1.08,0.68
76,0.64,2.32,2.17,1.29,1.08,0.67
77,0.64,2.31,2.17,1.29,1.08,1.08
78,0.64,2.31,2.16,1.29,1.08,1.08
79,0.64,2.31,2.16,1.29,1.08,1.08
80,0.63,2.34,2.15,1.28,1.07,1.08
81,0.63,3.27,2.15,1.28,1.07,1.07
82,0.63,3.26,2.14,1.28,1.07,1.07
83,0.63,3.26,2.14,1.27,1.07,1.07
84,0.62,3.26,2.14,1.27,1.07,1.06
85,0.62,3.25,2.13,1.27,1.06,1.06
86,0.62,3.25,2.13,1.27,1.06,1.06
87,0.61,3.25,2.12,1.26,1.06,1.06
88,0.61,3.24,2.12,1.26,1.06,1.06
89,0.61,3.24,2.12,1.26,1.06,1.05
90,0.61,3.24,2.11,1.26,1.05,1.05
91,0.61,3.24,2.11,1.25,1.05,1.05
92,0.75,3.24,2.1,1.25,1.05,1.05
